tax_level,income_start,income_end,tax_0,tax_1,tax_2,tax_3,tax_4,tax_5,tax_6,tax_7,tax_otu
189,569000,572000,41590,35120,28650,22190,17760,14520,11280,8180,180300
190,572000,575000,42140,35670,29200,22740,18030,14790,11560,8330,181800
191,575000,578000,42690,36230,29750,23290,18310,15070,11830,8610,183300
192,578000,581000,43240,36780,30300,23840,18580,15350,12110,8880,184700
193,581000,584000,43790,37330,30850,24390,18860,15620,12380,9160,186200
194,584000,587000,44340,37880,31410,24940,19130,15900,12660,9430,187700
195,587000,590000,44890,38430,31960,25490,19410,16170,12940,9710,189200
196,590000,593000,45440,38980,32510,26050,19680,16450,13210,9990,190600
197,593000,596000,46000,39530,33060,26600,20130,16720,13490,10260,192100
198,596000,599000,46550,40080,33610,27150,20690,17000,13760,10540,193600
199,599000,602000,47100,40640,34160,27700,21240,17280,14040,10810,195000
200,602000,605000,47650,41190,34710,28250,21790,17550,14310,11090,196500
201,605000,608000,48200,41740,35270,28800,22340,17830,14590,11360,198000
202,608000,611000,48750,42290,35820,29350,22890,18100,14870,11640,199400
203,611000,614000,49300,42840,36370,29910,23440,18380,15140,11920,200900
204,614000,617000,49860,43390,36920,30460,23990,18650,15420,12190,202400
205,617000,620000,50410,43940,37470,31010,24540,18930,15690,12470,203900
206,620000,623000,50960,44500,38020,31560,25100,19210,15970,12740,205300
207,623000,626000,51510,45050,38570,32110,25650,19480,16240,13020,206800
208,626000,629000,52060,45600,39120,32660,26200,19760,16520,13290,208300
209,629000,632000,52610,46150,39680,33210,26750,20280,16800,13570,209700
210,632000,635000,53160,46700,40230,33760,27300,20830,17070,13840,211200
211,635000,638000,53710,47250,40780,34320,27850,21380,17350,14120,212700
212,638000,641000,54270,47800,41330,34870,28400,21930,17620,14400,214100
213,641000,644000,54820,48350,41880,35420,28960,22480,17900,14670,215600
214,644000,647000,55370,48910,42430,35970,29510,23030,18170,14950,217000
215,647000,650000,55920,49460,42980,36520,30060,23590,18450,15220,218000
216,650000,653000,56470,50010,43540,37070,30610,24140,18730,15500,219000
217,653000,656000,57020,50560,44090,37620,31160,24690,19000,15770,220000
218,656000,659000,57570,51110,44640,38180,31710,25240,19280,16050,221000
219,659000,662000,58130,51660,45190,38730,32260,25790,19550,16330,222100
220,662000,665000,58680,52210,45740,39280,32810,26340,19880,16600,223100
221,665000,668000,59230,52770,46290,39830,33370,26890,20430,16880,224100
222,668000,671000,59780,53320,46840,40380,33920,27440,20980,17150,225000
223,671000,674000,60330,53870,47390,40930,34470,28000,21530,17430,226000
224,674000,677000,60880,54420,47950,41480,35020,28550,22080,17700,227100
225,677000,680000,61430,54970,48500,42030,35570,29100,22640,17980,228100
226,680000,683000,61980,55520,49050,42590,36120,29650,23190,18260,229100
227,683000,686000,62540,56070,49600,43140,36670,30200,23740,18530,230100
228,686000,689000,63090,56620,50150,43690,37230,30750,24290,18810,231200
229,689000,692000,63640,57180,50700,44240,37780,31300,24840,19080,232700
230,692000,695000,64190,57730,51250,44790,38330,31860,25390,19360,234200
231,695000,698000,64740,58280,51810,45340,38880,32410,25940,19630,235700
232,698000,701000,65290,58830,52360,45890,39430,32960,26490,20030,237300
233,701000,704000,65840,59380,52910,46450,39980,33510,27050,20580,238900
234,704000,707000,66400,59930,53460,47000,40530,34060,27600,21130,240400
235,707000,710000,66950,60480,54010,47550,41090,34610,28150,21690,242000
236,710000,713000,67500,61040,54560,48100,41640,35160,28700,22240,243500
237,713000,716000,68050,61590,55110,48650,42190,35710,29250,22790,245000
238,716000,719000,68600,62140,55660,49200,42740,36270,29800,23340,246600
239,719000,722000,69150,62690,56220,49750,43290,36820,30350,23890,248100
240,722000,725000,69700,63240,56770,50300,43840,37370,30910,24440,249700
241,725000,728000,70260,63790,57320,50860,44390,37920,31460,24990,251300
242,728000,731000,70810,64340,57870,51410,44940,38470,32010,25550,252800
243,731000,734000,71360,64890,58420,51960,45500,39020,32560,26100,254300
244,734000,737000,71910,65450,58970,52510,46050,39570,33110,26650,255900
245,737000,740000,72460,66000,59520,53060,46600,40130,33660,27200,257400
246,740000,743000,73010,66550,60080,53610,47150,40680,34210,27750,259000
247,743000,746000,73560,67100,60630,54160,47700,41230,34770,28300,260600
248,746000,749000,74110,67650,61180,54720,48250,41780,35320,28850,262100
249,749000,752000,74670,68200,61730,55270,48800,42330,35870,29400,263600
250,752000,755000,75220,68750,62280,55820,49360,42880,36420,29960,265200
251,755000,758000,75770,69310,62830,56370,49910,43430,36970,30510,266700
252,758000,761000,76320,69860,63380,56920,50460,43980,37520,31060,268200
253,761000,764000,76870,70410,63940,57470,51010,44540,38070,31610,269900
254,764000,767000,77420,70960,64490,58020,51560,45090,38620,32160,271400
255,767000,770000,77970,71510,65040,58570,52110,45640,39180,32710,272900
256,770000,773000,78530,72060,65590,59130,52660,46190,39730,33260,274400
257,773000,776000,79080,72610,66140,59680,53210,46740,40280,33820,276000
258,776000,779000,79630,73160,66690,60230,53770,47290,40830,34370,277500
259,779000,782000,80180,73720,67240,60780,54320,47840,41380,34920,279000
260,782000,785000,80730,74270,67790,61330,54870,48400,41930,35470,280700
261,785000,788000,81280,74820,68350,61880,55420,48950,42480,36020,282200
262,788000,791000,81830,75370,68900,62430,55970,49500,43040,36570,283700
263,791000,794000,82460,75920,69450,62990,56520,50050,43590,37120,285300
264,794000,797000,83100,76470,70000,63540,57070,50600,44140,37670,286800
265,797000,800000,83730,77020,70550,64090,57630,51150,44690,38230,288300
266,800000,803000,84370,77580,71100,64640,58180,51700,45240,38780,290000
267,803000,806000,85000,78130,71650,65190,58730,52250,45790,39330,291500
268,806000,809000,85630,78680,72210,65740,59280,52810,46340,39880,293000
269,809000,812000,86260,79230,72760,66290,59830,53360,46890,40430,294600
270,812000,815000,86900,79780,73310,66840,60380,53910,47450,40980,296100
271,815000,818000,87530,80330,73860,67400,60930,54460,48000,41530,297600
272,818000,821000,88160,80880,74410,67950,61480,55010,48550,42090,299200
273,821000,824000,88800,81430,74960,68500,62040,55560,49100,42640,300800
274,824000,827000,89440,82000,75510,69050,62590,56110,49650,43190,302300
275,827000,830000,90070,82630,76060,69600,63140,56670,50200,43740,303800
276,830000,833000,90710,83260,76620,70150,63690,57220,50750,44290,305400
277,833000,836000,91360,83930,77200,70720,64260,57800,51330,44860,306900
278,836000,839000,92060,84630,77810,71340,64870,58410,51940,45480,308400
279,839000,842000,92770,85340,78420,71950,65490,59020,52550,46090,310000
280,842000,845000,93470,86040,79040,72560,66100,59640,53160,46700,311600
281,845000,848000,94180,86740,79650,73180,66710,60250,53780,47310,313100
282,848000,851000,94880,87450,80260,73790,67320,60860,54390,47930,314700
283,851000,854000,95590,88150,80870,74400,67940,61470,55000,48540,316200
284,854000,857000,96290,88860,81490,75010,68550,62090,55610,49150,317700
285,857000,860000,97000,89560,82130,75630,69160,62700,56230,49760,319300
286,860000,970000,97350,89920,82480,75930,69470,63010,56530,50070,320900
287,970000,1720000,123190,115760,108320,101770,95310,88850,82370,75910,320900
288,1720000,3550000,375890,368460,361020,354470,348010,341550,335070,328610,672200
289,3550000,11,1123270,1115840,1108400,1101850,1095390,1088930,1082450,1075990,672200
